seed,dataset,feature,model,distillation_method,n_distill_steps,alpha,real_mse,transfer_mse,acf_short,acf_long,fft_distance,trend_error,variance_diff,freq_rank_error,peak_mag_ratio,cross_corr_error
7,ETTh1,0,CNN,MTT,300,0.0,0.3855063006053819,0.594715555074776,0.1565857074671992,0.1276136219272963,0.543560672119412,0.7178365805464301,0.7913905382156372,15.0,0.9797041804242252,0.3283411614737674
7,ETTh1,1,CNN,MTT,300,0.0,0.3855063006053819,0.594715555074776,0.1365414280632229,0.1017649736121628,0.4157657387864828,0.8734103885491303,0.3587434291839599,15.0,0.9167823705312989,0.3283411614737674
7,ETTh1,2,CNN,MTT,300,0.0,0.3855063006053819,0.594715555074776,0.3565535034772164,0.1249932838537093,0.5217390800603795,0.559253482887159,0.8144728541374207,32.0,0.9346094881561954,0.3283411614737674
7,ETTh1,3,CNN,MTT,300,0.0,0.3855063006053819,0.594715555074776,0.1568759038314608,0.1173162952474101,0.3094780523526195,0.4105273154412112,0.4856957197189331,15.0,0.5970340435588243,0.3283411614737674
7,ETTh1,4,CNN,MTT,300,0.0,0.3855063006053819,0.594715555074776,0.1964279808681801,0.0832557116221605,0.7136319910733183,1.3678131306525951,0.1203733682632446,15.0,0.6635503135251068,0.3283411614737674
7,ETTh1,5,CNN,MTT,300,0.0,0.3855063006053819,0.594715555074776,0.4935510803511869,0.3658939462436893,0.3285898869985049,1.5800827748871271,0.7523121237754822,2.0,0.5538336719425244,0.3283411614737674
7,ETTh1,6,CNN,MTT,300,0.0,0.3855063006053819,0.594715555074776,0.0690860086313285,0.0537378674513694,0.6299954962495263,1.5407442003091285,0.5543301105499268,0.0,1.3766660887057416,0.3283411614737674
7,ETTh1,0,CNN,MTT,300,0.1,0.3855063006053819,0.523842647249519,0.1467408391871529,0.1196863562424595,0.4892046026245152,0.7396469752344421,0.7928909063339233,15.0,0.8817337747423604,0.3277511741638694
7,ETTh1,1,CNN,MTT,300,0.1,0.3855063006053819,0.523842647249519,0.1326862957996122,0.0998691071666986,0.3741891701026385,0.8470276121535449,0.4153071045875549,15.0,0.8251041049807566,0.3277511741638694
7,ETTh1,2,CNN,MTT,300,0.1,0.3855063006053819,0.523842647249519,0.3451373374656747,0.1110314107318295,0.4695651631223164,0.5921854459840509,0.8107754588127136,32.0,0.8411485281752517,0.3277511741638694
7,ETTh1,3,CNN,MTT,300,0.1,0.3855063006053819,0.523842647249519,0.1494667135407628,0.1115284652554849,0.2785302367426183,0.4005298488291763,0.5271104574203491,15.0,0.5373306980529057,0.3277511741638694
7,ETTh1,4,CNN,MTT,300,0.1,0.3855063006053819,0.523842647249519,0.1899590641867943,0.0816034901507314,0.6422687890098882,1.2968788705594383,0.016735553741455,15.0,0.5971953107580383,0.3277511741638694
7,ETTh1,5,CNN,MTT,300,0.1,0.3855063006053819,0.523842647249519,0.4679268940407511,0.3593427745884869,0.2957308965742932,1.6174369634421752,0.763562023639679,0.0,0.4984503127815981,0.3277511741638694
7,ETTh1,6,CNN,MTT,300,0.1,0.3855063006053819,0.523842647249519,0.0690368458400283,0.0541016465704213,0.5669959460641317,1.481432433769177,0.6030012369155884,0.0,1.238999608014281,0.3277511741638694
7,ETTh1,0,CNN,MTT,300,0.2,0.3855063006053819,0.4861799004975369,0.1298932462956702,0.1001206799797287,0.4348485267939362,0.7628322949501907,0.7872600555419922,15.0,0.7837633514938115,0.3267753270930887
7,ETTh1,1,CNN,MTT,300,0.2,0.3855063006053819,0.4861799004975369,0.1264607395310688,0.0965768628723546,0.3326125812602279,0.8214637194878563,0.4668393731117248,15.0,0.7334258525461782,0.3267753270930887
7,ETTh1,2,CNN,MTT,300,0.2,0.3855063006053819,0.4861799004975369,0.3346317492269395,0.090509255450188,0.4173912659718015,0.6250878587542701,0.8007484078407288,0.0,0.7476875885509764,0.3267753270930887
7,ETTh1,3,CNN,MTT,300,0.2,0.3855063006053819,0.4861799004975369,0.1404895880664928,0.104628050175828,0.2475824304905548,0.3912115139467103,0.5655251741409302,15.0,0.4776272326674311,0.3267753270930887
7,ETTh1,4,CNN,MTT,300,0.2,0.3855063006053819,0.4861799004975369,0.1811448660831597,0.0793266928363621,0.5709056401829541,1.2503773310859274,0.0759720206260681,15.0,0.5308402757407273,0.3267753270930887
7,ETTh1,5,CNN,MTT,300,0.2,0.3855063006053819,0.4861799004975369,0.4395501914916881,0.3508421046220079,0.2628718593551677,1.6451485862035764,0.7727713584899902,0.0,0.4430669536206718,0.3267753270930887
7,ETTh1,6,CNN,MTT,300,0.2,0.3855063006053819,0.4861799004975369,0.068467028272063,0.0541907039116509,0.5039963770129324,1.422166730650099,0.6483407020568848,0.0,1.1013328003139566,0.3267753270930887
7,ETTh1,0,CNN,MTT,300,0.3,0.3855063006053819,0.4700268038625522,0.1170522234032651,0.074077846378851,0.3804924653850672,0.785002087623935,0.7744981050491333,15.0,0.6857929282452626,0.3259850138851969
7,ETTh1,1,CNN,MTT,300,0.3,0.3855063006053819,0.4700268038625522,0.1173048455748041,0.0914135834119729,0.2910360223711357,0.7951061120829757,0.5133401155471802,15.0,0.6417476525754551,0.3259850138851969
7,ETTh1,2,CNN,MTT,300,0.3,0.3855063006053819,0.4700268038625522,0.3258349484506831,0.0718244943003478,0.3652173575773126,0.6567685290404606,0.7843917012214661,0.0,0.6542266489267011,0.3259850138851969
7,ETTh1,3,CNN,MTT,300,0.3,0.3855063006053819,0.4700268038625522,0.1306951587665715,0.0968327991940957,0.2166346289001539,0.3830439936635412,0.6009402275085449,15.0,0.4179237972518456,0.3259850138851969
7,ETTh1,4,CNN,MTT,300,0.3,0.3855063006053819,0.4700268038625522,0.1695541192573417,0.0763583293350623,0.4995423621851478,1.2036359996086468,0.1577493548393249,15.0,0.4644852407234164,0.3259850138851969
7,ETTh1,5,CNN,MTT,300,0.3,0.3855063006053819,0.4700268038625522,0.4088647716995763,0.3403836431410905,0.2300129309362712,1.6713039071347513,0.7799400687217712,0.0,0.3876835944597454,0.3259850138851969
7,ETTh1,6,CNN,MTT,300,0.3,0.3855063006053819,0.4700268038625522,0.067166271862796,0.0538975900026417,0.4409968494320019,1.3650852084342942,0.6903485059738159,0.0,0.9636664831269284,0.3259850138851969
7,ETTh1,0,CNN,MTT,300,0.5,0.3855063006053819,0.4678282634268421,0.1500154244936793,0.0498394693173957,0.2717803525977981,0.8332831518941514,0.7275806665420532,0.0,0.4898521379615539,0.3268845671165979
7,ETTh1,1,CNN,MTT,300,0.5,0.3855063006053819,0.4678282634268421,0.0913547412864622,0.0751558134592591,0.2078828756884942,0.7433850748955005,0.5912469625473022,15.0,0.4583911214743708,0.3268845671165979
7,ETTh1,2,CNN,MTT,300,0.5,0.3855063006053819,0.4678282634268421,0.3143698012632015,0.0694586802406923,0.2608695428072036,0.7215631315753683,0.7326893210411072,0.0,0.4673047425359258,0.3268845671165979
7,ETTh1,3,CNN,MTT,300,0.5,0.3855063006053819,0.4678282634268421,0.1087822051098357,0.0806370146213352,0.1547390500112433,0.3721331866649398,0.6627709865570068,15.0,0.2985169863604524,0.3268845671165979
7,ETTh1,4,CNN,MTT,300,0.5,0.3855063006053819,0.4678282634268421,0.1366060916211218,0.0688756286745549,0.3568160070155765,1.1176143717137197,0.2885127067565918,15.0,0.3317751706887945,0.3268845671165979
7,ETTh1,5,CNN,MTT,300,0.5,0.3855063006053819,0.4678282634268421,0.3433105883780684,0.314120366720429,0.1642949337570074,1.7232711806218195,0.7881559729576111,0.0,0.2769168761378927,0.3268845671165979
7,ETTh1,6,CNN,MTT,300,0.5,0.3855063006053819,0.4678282634268421,0.0614162285437556,0.0511591170970176,0.3149977749420781,1.2509369973367843,0.7643691301345825,0.0,0.6883330312307112,0.3268845671165979
7,ETTh1,0,CNN,MTT,300,0.7,0.3855063006053819,0.435509107882746,0.2128310995849528,0.0933963024453083,0.163068208990902,0.8917849173016579,0.6521385908126831,0.0,0.2939112633577616,0.3332409823877421
7,ETTh1,1,CNN,MTT,300,0.7,0.3855063006053819,0.435509107882746,0.0689933144045935,0.0549747515203633,0.1247297251424107,0.687729314657172,0.6490278244018555,15.0,0.2750345641413588,0.3332409823877421
7,ETTh1,2,CNN,MTT,300,0.7,0.3855063006053819,0.435509107882746,0.3210456355174718,0.1090325139044674,0.1565217464169441,0.7890236858977503,0.6556683778762817,0.0,0.2803828632873753,0.3332409823877421
7,ETTh1,3,CNN,MTT,300,0.7,0.3855063006053819,0.435509107882746,0.0934488671486397,0.0709097867378979,0.0928434394032383,0.3668057522797497,0.7126027345657349,15.0,0.1791102354088372,0.3332409823877421
7,ETTh1,4,CNN,MTT,300,0.7,0.3855063006053819,0.435509107882746,0.0916372221266771,0.0578137886819819,0.2140896253237765,1.0182013261670853,0.3755545616149902,15.0,0.1990651651546573,0.3332409823877421
7,ETTh1,5,CNN,MTT,300,0.7,0.3855063006053819,0.435509107882746,0.2780881417463947,0.2827394232946188,0.0985769681391516,1.7796392747812246,0.7882094979286194,0.0,0.1661502101814249,0.3332409823877421
