dataset,model,distillation_method,real_mse,synthetic_mse
ETTh1,DLinear,MTT,0.3972973295956827,0.8528288037428196
ETTh1,LSTM,MTT,0.9610799889060242,1.1331740898607816
ETTh1,MLP,MTT,0.3946648625356474,1.1657428014519948
ETTh1,CNN,MTT,0.383673079886008,1.1059381945312374
ETTh2,DLinear,MTT,0.3034965640572979,1.2539022898504832
ETTh2,LSTM,MTT,1.6341867962667878,1.4054252084120733
ETTh2,MLP,MTT,0.3019157240163916,2.431789226194442
ETTh2,CNN,MTT,0.32125268757032455,2.8195387203102085
ETTm1,DLinear,MTT,0.3452696834798529,0.7985840263537619
ETTm1,LSTM,MTT,0.7067817472946996,1.1365103072857774
ETTm1,MLP,MTT,0.34155519303920756,1.1573318805954935
ETTm1,CNN,MTT,0.34204507324240213,1.1051773065326735
ETTm2,DLinear,MTT,0.19360817095482363,1.1968928860132428
ETTm2,LSTM,MTT,0.5083635118020827,3.101502543007494
ETTm2,MLP,MTT,0.18161339288753087,2.382574821989698
ETTm2,CNN,MTT,0.2010262627525604,2.836301989732738
exchange_rate,DLinear,MTT,0.08211442822597446,0.918578646602702
exchange_rate,LSTM,MTT,0.6627715937653731,3.168131112159415
exchange_rate,MLP,MTT,0.08772835989346665,3.58976257338506
exchange_rate,CNN,MTT,0.08641867451230238,2.4886557386162576
weather,DLinear,MTT,0.1961148286292052,0.3114469149169096
weather,LSTM,MTT,0.20910508850612902,0.6521394755947603
weather,MLP,MTT,0.17909443464191277,0.6601058289236016
weather,CNN,MTT,0.1866189273490837,0.6947023587564295
