seed,dataset,model,distillation_method,n_distill_steps,alpha,real_mse,transfer_mse,acf_short,acf_long,fft_distance,trend_error,variance_diff,freq_rank_error,peak_mag_ratio,cross_corr_error
7,ETTh1,CNN,MTT,300,0.0,0.385506301,0.594715555,0.22366023,0.1392251,0.494680131,1.00709541,0.553902566,13.42857143,0.860311451,0.328341161
7,ETTh1,CNN,MTT,300,0.1,0.385506301,0.523842647,0.214421999,0.133880464,0.445212115,0.996448307,0.561340392,13.14285714,0.774280334,0.327751174
7,ETTh1,CNN,MTT,300,0.2,0.385506301,0.4861799,0.202948201,0.125170621,0.395744097,0.988326862,0.588208139,8.571428571,0.688249151,0.326775327
7,ETTh1,CNN,MTT,300,0.3,0.385506301,0.470026804,0.19092462,0.114969755,0.346276088,0.979992263,0.614458263,8.571428571,0.602218049,0.325985014
7,ETTh1,CNN,MTT,300,0.5,0.385506301,0.467828263,0.172265012,0.10132087,0.247340077,0.966026728,0.650760829,6.428571429,0.430155724,0.326884567
7,ETTh1,CNN,MTT,300,0.7,0.385506301,0.435509108,0.159060913,0.101769115,0.148404055,0.952605013,0.665466368,6.428571429,0.258093435,0.333240982
7,ETTh1,CNN,MTT,300,1.0,0.385506301,0.442891818,0.181754248,0.11657246,6.81e-08,0.934764998,0.647030413,0.0,6.32e-08,0.358872606
42,ETTh1,CNN,MTT,300,0.0,0.3807109834068176,0.4978187381991914,0.3072859947751931,0.1765180953376291,0.2939837692715946,1.2472695158158378,0.470557689666748,3.4285714285714284,0.3234995152821481,0.2737938546037787
42,ETTh1,CNN,MTT,300,0.1,0.3807109834068176,0.4875646869861296,0.2982396976340629,0.1739931688485717,0.264585380124627,1.2444249372398184,0.4862551093101501,3.2857142857142856,0.2911495142960563,0.275170136805375
42,ETTh1,CNN,MTT,300,0.2,0.3807109834068176,0.4640195991194553,0.2879381497112038,0.1710926792173894,0.2351870069496046,1.2430369049784795,0.5105487108230591,3.2857142857142856,0.2587996318031605,0.2765916660865163
42,ETTh1,CNN,MTT,300,0.3,0.3807109834068176,0.4815794762377149,0.2765253324611448,0.1678571655733052,0.205788632054005,1.242433333941592,0.5332350730895996,3.2857142857142856,0.2264496653735095,0.2780913438099618
42,ETTh1,CNN,MTT,300,0.5,0.3807109834068176,0.4803442458245472,0.2516386661995558,0.1604315263541078,0.1469918816254322,1.2403627247153557,0.5737852454185486,1.1428571428571428,0.1617497680695359,0.2815244998580694
42,ETTh1,CNN,MTT,300,0.7,0.3807109834068176,0.4896817801619754,0.2249037496068237,0.1524983274458802,0.0881951238747725,1.2391610847183046,0.6079057455062866,1.1428571428571428,0.0970499215175522,0.2859119798443803
42,ETTh1,CNN,MTT,300,1.0,0.3807109834068176,0.5358026101750839,0.1861464155113452,0.1398066696881116,7.410991177297225e-08,1.2346641619478536,0.6470304131507874,0.0,1.0947937219730512e-07,0.2948738886299203
7,ETTh2,CNN,MTT,300,0.0,0.3137933581917166,0.3438867072157343,0.2880104213471533,0.1845278764299055,0.2678792272048301,0.6160920532176035,0.8471526503562927,15.0,0.4784813201246957,0.4443067320410964
7,ETTh2,CNN,MTT,300,0.1,0.3137933581917166,0.4454990544604105,0.2685616102932191,0.1786277506116078,0.2410912976474732,0.6222185587795694,0.8476232290267944,12.857142857142858,0.4306332026633746,0.4500251719876258
7,ETTh2,CNN,MTT,300,0.2,0.3137933581917166,0.6241569850550173,0.2486449352132353,0.1732354201858159,0.2143033712441102,0.6294665601352748,0.8466702699661255,8.571428571428571,0.3827850375784535,0.454450371729426
7,ETTh2,CNN,MTT,300,0.3,0.3137933581917166,0.3610214882348657,0.2290012291568554,0.1686429622130235,0.1875154565664143,0.6384203358505809,0.8442939519882202,8.571428571428571,0.3349369144048392,0.4575012335942553
7,ETTh2,CNN,MTT,300,0.5,0.3137933581917166,0.9306588474823856,0.1989039759538988,0.1633728476010392,0.1339396173993809,0.6591685477823523,0.8352710604667664,6.428571428571429,0.2392406372385614,0.4594145288879124
7,ETTh2,CNN,MTT,300,0.7,0.3137933581917166,0.7838820724311196,0.1857126975142149,0.1611481417057877,0.080363760880507,0.6848603999765573,0.8205547332763672,4.285714285714286,0.143544398181573,0.4559602336990121
7,ETTh2,CNN,MTT,300,1.0,0.3137933581917166,1.1954859734804515,0.2031810902606892,0.1702187819856893,6.863724947042289e-08,0.7276698410716238,0.787804901599884,0.0,5.8923816046932534e-08,0.4422932637510174
