dataset,model,distillation_method,real_mse,synthetic_mse
ETTh1,DLinear,MTT,0.3972973295956827,0.43567456981407493
ETTh1,LSTM,MTT,0.9610799889060242,1.1424310267251854
ETTh1,MLP,MTT,0.3946648625356474,0.4866022156947513
ETTh1,CNN,MTT,0.383673079886008,0.45341361705345956
ETTh2,DLinear,MTT,0.3034965640572979,0.31745389679654945
ETTh2,LSTM,MTT,1.6341867962667878,2.7519161649307575
ETTh2,MLP,MTT,0.3019157240163916,0.37409978023378054
ETTh2,CNN,MTT,0.32125268757032455,0.3709743733058335
ETTm1,DLinear,MTT,0.3452696834798529,0.5887968349983459
ETTm1,LSTM,MTT,0.7067817472946996,1.128663399908907
ETTm1,MLP,MTT,0.34155519303920756,0.6217497321309007
ETTm1,CNN,MTT,0.34204507324240213,0.6821659085272849
ETTm2,DLinear,MTT,0.19360817095482363,0.32509285195738097
ETTm2,LSTM,MTT,0.5083635118020827,3.220330062266798
ETTm2,MLP,MTT,0.18161339288753087,0.46703392285983664
ETTm2,CNN,MTT,0.2010262627525604,0.26689174472037314
exchange_rate,DLinear,MTT,0.08211442822597446,0.10315800533535775
exchange_rate,LSTM,MTT,0.6627715937653731,2.502274191781376
exchange_rate,MLP,MTT,0.08772835989346665,0.18704686701744236
exchange_rate,CNN,MTT,0.08641867451230238,0.23294783754741655
weather,DLinear,MTT,0.1961148286292052,0.19056014842764307
weather,LSTM,MTT,0.20910508850612902,0.6293503811095873
weather,MLP,MTT,0.17909443464191277,0.2886595010585345
weather,CNN,MTT,0.1866189273490837,0.31123363007307625
