dataset,expert_model,student_model,seed,method,phase_boundary,student_lr,synthetic_lr,n_distill_steps,real_mse,transfer_mse,mse_ratio,n_pairs_available,notes
ETTh1,MLP,MLP,42,param_mtt,,0.01,5.0,1000,0.39546623699602085,0.458105569408828,1.1583936289697405,81,
ETTh1,MLP,MLP,42,phase_aware_mtt,17,0.01,5.0,1000,0.39546623699602085,0.43485305021693177,1.0995958934954724,81,
ETTh1,MLP,DLinear,123,param_mtt,,0.01,5.0,1000,0.3972973284216287,0.40738704102848744,1.0253958732794477,81,
ETTh1,MLP,DLinear,123,phase_aware_mtt,12,0.01,5.0,1000,0.3972973284216287,0.40127431638446476,1.0100101049726051,81,
ETTh1,MLP,CNN,123,param_mtt,,0.01,5.0,1000,0.3836699554672952,0.41477603297605775,1.081075093489863,81,
ETTh1,MLP,CNN,123,phase_aware_mtt,12,0.01,5.0,1000,0.3836699554672952,0.4083967019383027,1.0644479613757905,81,
ETTh1,MLP,MLP,123,param_mtt,,0.01,5.0,1000,0.39546623699602085,0.4577474516009004,1.1574880704809858,81,
ETTh1,MLP,MLP,123,phase_aware_mtt,12,0.01,5.0,1000,0.39546623699602085,0.46535916663932425,1.1767355164734496,81,
ETTh2,DLinear,DLinear,7,param_mtt,,0.01,5.0,1000,0.30349656600997804,0.4468563881003572,1.4723606068269846,81,
ETTh2,DLinear,DLinear,7,phase_aware_mtt,2,0.01,5.0,1000,0.30349656600997804,0.33676131006447774,1.109605009677131,81,
ETTh2,DLinear,CNN,7,param_mtt,,0.01,5.0,1000,0.3212526216765413,3.710037635059003,11.548661037214874,81,
ETTh2,DLinear,CNN,7,phase_aware_mtt,2,0.01,5.0,1000,0.3212526216765413,1.8351810982994334,5.712579367359115,81,
ETTh2,DLinear,MLP,7,param_mtt,,0.01,5.0,1000,0.3021977074035999,0.4137870276637737,1.3692593210548112,81,
ETTh2,DLinear,MLP,7,phase_aware_mtt,2,0.01,5.0,1000,0.3021977074035999,0.3765910512985017,1.246174415200132,81,
ETTh2,DLinear,DLinear,42,param_mtt,,0.01,5.0,1000,0.30349656600997804,0.35799371531104046,1.1795643028767275,81,
ETTh2,DLinear,DLinear,42,phase_aware_mtt,12,0.01,5.0,1000,0.30349656600997804,0.34407516407989036,1.1337036481281908,81,
ETTh2,DLinear,CNN,42,param_mtt,,0.01,5.0,1000,0.3212526216765413,0.4821079542364352,1.5007129022649779,81,
ETTh2,DLinear,CNN,42,phase_aware_mtt,12,0.01,5.0,1000,0.3212526216765413,0.4859449194182267,1.512656665281657,81,
ETTh2,DLinear,MLP,42,param_mtt,,0.01,5.0,1000,0.3021977074035999,0.3845507787355676,1.2725138851632025,81,
ETTh2,DLinear,MLP,42,phase_aware_mtt,12,0.01,5.0,1000,0.3021977074035999,0.39433489431221586,1.3048904232273417,81,
ETTh2,DLinear,DLinear,123,param_mtt,,0.01,5.0,1000,0.30349656600997804,0.3672212889655753,1.2099685139551206,81,
ETTh2,DLinear,DLinear,123,phase_aware_mtt,4,0.01,5.0,1000,0.30349656600997804,0.3361226024327649,1.1075005126144137,81,
ETTh2,DLinear,CNN,123,param_mtt,,0.01,5.0,1000,0.3212526216765413,0.4414322284120591,1.3740968901929234,81,
ETTh2,DLinear,CNN,123,phase_aware_mtt,4,0.01,5.0,1000,0.3212526216765413,0.3558314293177095,1.1076374333093677,81,
ETTh2,DLinear,MLP,123,param_mtt,,0.01,5.0,1000,0.3021977074035999,0.4037515553020051,1.3360510202771825,81,
ETTh2,DLinear,MLP,123,phase_aware_mtt,4,0.01,5.0,1000,0.3021977074035999,0.3712406188450869,1.228469342255058,81,
ETTh2,CNN,DLinear,7,param_mtt,,0.01,5.0,1000,0.30349656600997804,0.3191701408287414,1.0516433349636254,81,
ETTh2,CNN,DLinear,7,phase_aware_mtt,5,0.01,5.0,1000,0.30349656600997804,0.31936464763007694,1.0522842212968473,81,
ETTh2,CNN,CNN,7,param_mtt,,0.01,5.0,1000,0.3212526216765413,0.42001478131677367,1.3074283382492446,81,
ETTh2,CNN,CNN,7,phase_aware_mtt,5,0.01,5.0,1000,0.3212526216765413,0.3832327364652271,1.1929326349625609,81,
ETTh2,CNN,MLP,7,param_mtt,,0.01,5.0,1000,0.3021977074035999,0.34719047079211046,1.1488851910064972,81,
ETTh2,CNN,MLP,7,phase_aware_mtt,5,0.01,5.0,1000,0.3021977074035999,0.34005663913264683,1.1252786861102306,81,
ETTh2,CNN,DLinear,42,param_mtt,,0.01,5.0,1000,0.30349656600997804,0.35533888795553764,1.1708168320555403,81,
ETTh2,CNN,DLinear,42,phase_aware_mtt,6,0.01,5.0,1000,0.30349656600997804,0.43308958885373544,1.4269999642747087,81,
ETTh2,CNN,CNN,42,param_mtt,,0.01,5.0,1000,0.3212526216765413,3.3955120473781633,10.569601049970553,81,
ETTh2,CNN,CNN,42,phase_aware_mtt,6,0.01,5.0,1000,0.3212526216765413,0.39318907930472474,1.2239248889324674,81,
ETTh2,CNN,MLP,42,param_mtt,,0.01,5.0,1000,0.3021977074035999,3.442513198115494,11.391592701654247,81,
ETTh2,CNN,MLP,42,phase_aware_mtt,6,0.01,5.0,1000,0.3021977074035999,3.4294379317231534,11.348325442929221,81,
ETTh2,CNN,DLinear,123,param_mtt,,0.01,5.0,1000,0.30349656600997804,0.32596754068960193,1.07404029302554,81,
ETTh2,CNN,DLinear,123,phase_aware_mtt,8,0.01,5.0,1000,0.30349656600997804,0.35790558497681724,1.179273919577233,81,
ETTh2,CNN,CNN,123,param_mtt,,0.01,5.0,1000,0.3212526216765413,0.362250066759485,1.1276174646263983,81,
ETTh2,CNN,CNN,123,phase_aware_mtt,8,0.01,5.0,1000,0.3212526216765413,0.39045944630085655,1.2154280461997204,81,
ETTh2,CNN,MLP,123,param_mtt,,0.01,5.0,1000,0.3021977074035999,0.35230907052258525,1.165823108155017,81,
