dataset,model,distillation_method,real_mse,synthetic_mse
ETTh1,DLinear,MTT,0.3972973295956827,0.40609969034494164
ETTh1,LSTM,MTT,0.9610799889060242,1.3891279692974745
ETTh1,MLP,MTT,0.3946648625356474,0.457363176684181
ETTh1,CNN,MTT,0.383673079886008,0.4328699504431266
ETTh2,DLinear,MTT,0.3034965640572979,0.3191203791962492
ETTh2,LSTM,MTT,1.6341867962667878,3.2206321669998683
ETTh2,MLP,MTT,0.3019157240163916,0.3714960252687321
ETTh2,CNN,MTT,0.32125268757032455,0.42502841284980913
ETTm1,DLinear,MTT,0.3452696834798529,0.3746643080368034
ETTm1,LSTM,MTT,0.7067817472946996,1.1874401522770863
ETTm1,MLP,MTT,0.34155519303920756,0.5647503125062644
ETTm1,CNN,MTT,0.34204507324240213,0.4681466560983852
ETTm2,DLinear,MTT,0.19360817095482363,0.22941450472385844
ETTm2,LSTM,MTT,0.5083635118020827,3.182746378358136
ETTm2,MLP,MTT,0.18161339288753087,0.37452413160378356
ETTm2,CNN,MTT,0.2010262627525604,0.40069689356064664
exchange_rate,DLinear,MTT,0.08211442822597446,0.5954746396354075
exchange_rate,LSTM,MTT,0.6627715937653731,2.7403223987822227
exchange_rate,MLP,MTT,0.08772835989346665,0.5785521969813087
exchange_rate,CNN,MTT,0.08641867451230238,0.6664627259143729
weather,DLinear,MTT,0.1961148286292052,0.2214246620935846
weather,LSTM,MTT,0.20910508850612902,0.6478283724612062
weather,MLP,MTT,0.17909443464191277,0.2690572986806986
weather,CNN,MTT,0.1866189273490837,0.2505472564053787
