dataset,model,distillation_method,real_mse,synthetic_mse
ETTh1,DLinear,MTT,0.3972973295956827,0.4060756255146009
ETTh1,LSTM,MTT,0.9610799889060242,1.3899224542782656
ETTh1,MLP,MTT,0.3946648625356474,0.4575265853091306
ETTh1,CNN,MTT,0.383673079886008,0.433483786858931
ETTh2,DLinear,MTT,0.3034965640572979,0.31907431031838845
ETTh2,LSTM,MTT,1.6341867962667878,3.2206516239452925
ETTh2,MLP,MTT,0.3019157240163916,0.37154665464538383
ETTh2,CNN,MTT,0.32125268757032455,0.4247718633255653
ETTm1,DLinear,MTT,0.3452696834798529,0.3680127014427666
ETTm1,LSTM,MTT,0.7067817472946996,1.1875068911788638
ETTm1,MLP,MTT,0.34155519303920756,0.5645202607026358
ETTm1,CNN,MTT,0.34204507324240213,0.4569649625020784
ETTm2,DLinear,MTT,0.19360817095482363,0.22900614520342533
ETTm2,LSTM,MTT,0.5083635118020827,3.1868419716459297
ETTm2,MLP,MTT,0.18161339288753087,0.37304918725626957
ETTm2,CNN,MTT,0.2010262627525604,0.39007333305933656
exchange_rate,DLinear,MTT,0.08211442822597446,0.4714673047655084
exchange_rate,LSTM,MTT,0.6627715937653731,2.0200981629475225
exchange_rate,MLP,MTT,0.08772835989346665,0.5638455005174272
exchange_rate,CNN,MTT,0.08641867451230238,0.6223149259438675
weather,DLinear,MTT,0.1961148286292052,0.22185141699872107
weather,LSTM,MTT,0.20910508850612902,0.6478265297705716
weather,MLP,MTT,0.17909443464191277,0.2664903396703489
weather,CNN,MTT,0.1866189273490837,0.2513715041511011
