dataset,model,seed,epoch,val_loss_raw,val_loss_smooth,is_boundary
weather,DLinear,42,42,0.46414604,0.46258255,False
weather,DLinear,42,43,0.46127901,0.46237118,False
weather,DLinear,42,44,0.46165522,0.46234768,False
weather,DLinear,42,45,0.46199736,0.46195472,False
weather,DLinear,42,46,0.46266078,0.46194577,False
weather,DLinear,42,47,0.46218122,0.46193206,False
weather,DLinear,42,48,0.46123429,0.46230767,False
weather,DLinear,42,49,0.46158663,0.4625178,False
weather,DLinear,42,50,0.46387544,0.46255825,False
weather,DLinear,42,51,0.46371143,0.46280351,False
weather,DLinear,42,52,0.46238347,0.46302076,False
weather,DLinear,42,53,0.46246057,0.46293799,False
weather,DLinear,42,54,0.46267289,0.4632129,False
weather,DLinear,42,55,0.46346157,0.4633049,False
weather,DLinear,42,56,0.46508599,0.46326044,False
weather,DLinear,42,57,0.4628435,0.46333773,False
weather,DLinear,42,58,0.46223826,0.46316386,False
weather,DLinear,42,59,0.46305931,0.46243482,False
weather,DLinear,42,60,0.46259224,0.46248012,False
weather,DLinear,42,61,0.46144078,0.46272718,False
weather,DLinear,42,62,0.46307001,0.46266464,False
weather,DLinear,42,63,0.46347355,0.46246965,False
weather,DLinear,42,64,0.4627466,0.46262605,False
weather,DLinear,42,65,0.46161729,0.46264344,False
weather,DLinear,42,66,0.46222282,0.46267533,False
weather,DLinear,42,67,0.46315695,0.46298569,False
weather,DLinear,42,68,0.46363297,0.46269154,False
weather,DLinear,42,69,0.46429839,0.46259679,False
weather,DLinear,42,70,0.46014655,0.46265599,False
weather,DLinear,42,71,0.46174909,0.46277732,False
weather,DLinear,42,72,0.46345295,0.46241737,False
weather,DLinear,42,73,0.46423962,0.46270011,False
weather,DLinear,42,74,0.46249865,0.4629527,False
weather,DLinear,42,75,0.46156026,0.46286232,False
weather,DLinear,42,76,0.46301202,0.46255822,False
weather,DLinear,42,77,0.46300104,0.46233562,False
weather,DLinear,42,78,0.46271914,0.46276648,False
weather,DLinear,42,79,0.46138566,0.46270509,False
weather,DLinear,42,80,0.46371453,0.46260645,False
weather,MLP,42,1,0.48007876,0.47067309,False
weather,MLP,42,2,0.46897879,0.46781372,False
weather,MLP,42,3,0.46296171,0.46625293,False
weather,MLP,42,4,0.45923563,0.46135835,False
weather,MLP,42,5,0.46000974,0.45760738,False
weather,MLP,42,6,0.45560587,0.45478396,False
weather,MLP,42,7,0.45022393,0.45265165,False
weather,MLP,42,8,0.44884461,0.45047539,False
weather,MLP,42,9,0.44857411,0.44936815,False
weather,MLP,42,10,0.44912843,0.44813946,False
weather,MLP,42,11,0.45006967,0.44737025,False
weather,MLP,42,12,0.44408049,0.44604438,False
weather,MLP,42,13,0.44499857,0.44460856,False
weather,MLP,42,14,0.44194474,0.44186239,False
weather,MLP,42,15,0.44194931,0.44064888,False
weather,MLP,42,16,0.43633882,0.43879617,False
weather,MLP,42,17,0.43801298,0.43746039,False
weather,MLP,42,18,0.43573501,0.435903,False
weather,MLP,42,19,0.43526581,0.43545332,False
weather,MLP,42,20,0.43416236,0.43414221,False
weather,MLP,42,21,0.43409044,0.43306748,False
weather,MLP,42,22,0.43145744,0.43207876,False
weather,MLP,42,23,0.43036137,0.43099857,False
weather,MLP,42,24,0.43032217,0.43000564,False
weather,MLP,42,25,0.42876143,0.42907566,True
weather,MLP,42,26,0.42912581,0.42856315,False
weather,MLP,42,27,0.4268075,0.42780786,False
weather,MLP,42,28,0.42779881,0.42672877,False
weather,MLP,42,29,0.42654573,0.42566625,False
weather,MLP,42,30,0.42336601,0.42559836,False
weather,MLP,42,31,0.4238132,0.42439648,False
weather,MLP,42,32,0.42646804,0.42338482,False
weather,MLP,42,33,0.42178942,0.42326073,False
weather,MLP,42,34,0.42148743,0.42290296,False
weather,MLP,42,35,0.42274557,0.42143658,False
weather,MLP,42,36,0.42202433,0.42106919,False
weather,MLP,42,37,0.41913614,0.42070904,False
weather,MLP,42,38,0.41995247,0.41983677,False
weather,MLP,42,39,0.41968668,0.41911971,False
weather,MLP,42,40,0.41838423,0.41847421,False
weather,MLP,42,41,0.41843902,0.41808496,False
weather,MLP,42,42,0.41590864,0.41725819,False
weather,MLP,42,43,0.41800621,0.4167562,False
weather,MLP,42,44,0.41555283,0.41606305,False
weather,MLP,42,45,0.41587431,0.41613508,False
weather,MLP,42,46,0.41497327,0.41497741,False
weather,MLP,42,47,0.41626881,0.41460923,False
weather,MLP,42,48,0.41221785,0.41434205,False
weather,MLP,42,49,0.41371193,0.4140408,False
weather,MLP,42,50,0.41453838,0.41318925,False
weather,MLP,42,51,0.41346702,0.4128417,False
weather,MLP,42,52,0.41201107,0.41339556,False
weather,MLP,42,53,0.4104801,0.41292111,False
weather,MLP,42,54,0.41648124,0.41233801,False
weather,MLP,42,55,0.41216614,0.4126208,False
weather,MLP,42,56,0.41055148,0.41261218,False
weather,MLP,42,57,0.41342506,0.41116335,False
weather,MLP,42,58,0.41043697,0.4103295,False
weather,MLP,42,59,0.40923707,0.41025036,False
weather,MLP,42,60,0.40799689,0.40912141,False
weather,MLP,42,61,0.41015582,0.40957809,False
weather,MLP,42,62,0.40778028,0.40945222,False
weather,MLP,42,63,0.41272037,0.40932505,False
weather,MLP,42,64,0.40860773,0.40901353,False
weather,MLP,42,65,0.40736103,0.40947014,False
weather,MLP,42,66,0.40859824,0.40845056,False
weather,MLP,42,67,0.41006333,0.40890741,False
weather,MLP,42,68,0.40762245,0.40989296,False
weather,MLP,42,69,0.410892,0.4100363,False
weather,MLP,42,70,0.41228877,0.40971922,False
weather,MLP,42,71,0.40931496,0.40946978,False
weather,MLP,42,72,0.40847791,0.40874281,False
weather,MLP,42,73,0.40637526,0.40765575,False
weather,MLP,42,74,0.40725716,0.40722541,False
weather,MLP,42,75,0.40685346,0.40653964,False
weather,MLP,42,76,0.40716325,0.40633374,False
weather,MLP,42,77,0.40504905,0.4064411,False
weather,MLP,42,78,0.4053458,0.40632973,False
weather,MLP,42,79,0.40779392,0.40612135,False
weather,MLP,42,80,0.40629663,0.40647878,False
weather,CNN,42,1,0.45188524,0.43970665,False
weather,CNN,42,2,0.43604323,0.43716508,False
weather,CNN,42,3,0.43119149,0.43529076,False
weather,CNN,42,4,0.42954036,0.43029671,False
weather,CNN,42,5,0.42779347,0.42838372,False
weather,CNN,42,6,0.42691498,0.42705971,False
weather,CNN,42,7,0.4264783,0.4259502,True
weather,CNN,42,8,0.42457144,0.42510902,False
weather,CNN,42,9,0.42399284,0.42394297,False
weather,CNN,42,10,0.42358753,0.422949,False
weather,CNN,42,11,0.42108474,0.42218228,False
weather,CNN,42,12,0.42150845,0.42180081,False
weather,CNN,42,13,0.42073784,0.42081152,False
weather,CNN,42,14,0.42208549,0.4202126,False
weather,CNN,42,15,0.41864107,0.41990277,False
weather,CNN,42,16,0.41809015,0.41951103,False
weather,CNN,42,17,0.4199593,0.41873297,False
weather,CNN,42,18,0.41877916,0.41884076,False
weather,CNN,42,19,0.41819515,0.41887692,False
weather,CNN,42,20,0.41918002,0.41859503,False
weather,CNN,42,21,0.41827096,0.41834209,False
weather,CNN,42,22,0.41854985,0.41806439,False
weather,CNN,42,23,0.41751445,0.41753518,False
weather,CNN,42,24,0.41680667,0.41691281,False
weather,CNN,42,25,0.41653395,0.41687153,False
weather,CNN,42,26,0.41515911,0.41626205,False
weather,CNN,42,27,0.41834346,0.41588769,False
weather,CNN,42,28,0.41446705,0.41551754,False
weather,CNN,42,29,0.41493489,0.41532997,False
weather,CNN,42,30,0.41468317,0.41439661,False
weather,CNN,42,31,0.4142213,0.41409531,False
weather,CNN,42,32,0.41367666,0.41365594,False
weather,CNN,42,33,0.41296054,0.41320474,False
weather,CNN,42,34,0.41273804,0.41298079,False
weather,CNN,42,35,0.41242714,0.41272577,False
weather,CNN,42,36,0.41310159,0.41268679,False
weather,CNN,42,37,0.41240154,0.41245923,False
weather,CNN,42,38,0.41276562,0.41252076,False
weather,CNN,42,39,0.41160026,0.41232463,False
weather,CNN,42,40,0.41273477,0.41257143,False
weather,CNN,42,41,0.41212095,0.41244417,False
weather,CNN,42,42,0.41363554,0.41227708,False
weather,CNN,42,43,0.41212936,0.41246111,False
weather,CNN,42,44,0.4107648,0.4123006,False
weather,CNN,42,45,0.41365489,0.41232902,False
weather,CNN,42,46,0.41131841,0.41201989,False
weather,CNN,42,47,0.41377766,0.4123838,False
weather,CNN,42,48,0.41058367,0.41159333,False
weather,CNN,42,49,0.41258437,0.41140154,False
weather,CNN,42,50,0.40970255,0.41072365,False
weather,CNN,42,51,0.41035945,0.41045411,False
weather,CNN,42,52,0.41038822,0.41067456,False
weather,CNN,42,53,0.40923597,0.41054299,False
weather,CNN,42,54,0.41368664,0.41062165,False
weather,CNN,42,55,0.40904468,0.41102132,False
weather,CNN,42,56,0.41075272,0.41118075,False
weather,CNN,42,57,0.41238657,0.41071281,False
weather,CNN,42,58,0.41003316,0.41170371,False
weather,CNN,42,59,0.41134691,0.4117923,False
weather,CNN,42,60,0.41399921,0.41117856,False
weather,CNN,42,61,0.41119563,0.41103479,False
weather,CNN,42,62,0.4093179,0.41077894,False
weather,CNN,42,63,0.40931429,0.40964301,False
weather,CNN,42,64,0.41006768,0.40953639,False
weather,CNN,42,65,0.40831953,0.4096544,False
weather,CNN,42,66,0.41066253,0.40985161,False
weather,CNN,42,67,0.40990795,0.40936992,False
weather,CNN,42,68,0.41030037,0.40970577,False
weather,CNN,42,69,0.40765923,0.41010687,False
weather,CNN,42,70,0.40999876,0.41018563,False
weather,CNN,42,71,0.41266805,0.41058191,False
weather,CNN,42,72,0.41030172,0.41086737,False
weather,CNN,42,73,0.41228178,0.41062982,False
weather,CNN,42,74,0.40908652,0.41023791,False
weather,CNN,42,75,0.40881102,0.40975659,False
weather,CNN,42,76,0.4107085,0.40918259,False
weather,CNN,42,77,0.40789511,0.40923918,False
weather,CNN,42,78,0.40941179,0.40958515,False
weather,CNN,42,79,0.40936948,0.40930432,False
weather,CNN,42,80,0.41054088,0.40977405,False
weather,LSTM,42,1,0.8072491,0.79491006,False
weather,LSTM,42,2,0.79599725,0.78706796,False
weather,LSTM,42,3,0.78148382,0.77883969,False
weather,LSTM,42,4,0.76354166,0.76389437,False
weather,LSTM,42,5,0.74592664,0.74904375,False
weather,LSTM,42,6,0.73252249,0.73534548,False
weather,LSTM,42,7,0.72174413,0.72378064,False
weather,LSTM,42,8,0.71299247,0.71408628,False
weather,LSTM,42,9,0.70571747,0.70574525,False
weather,LSTM,42,10,0.69745487,0.69789405,False
weather,LSTM,42,11,0.69081732,0.69037333,False
weather,LSTM,42,12,0.68248814,0.683339,False
weather,LSTM,42,13,0.67538884,0.67673387,False
weather,LSTM,42,14,0.67054583,0.67283053,False
weather,LSTM,42,15,0.66442921,0.66679645,False
weather,LSTM,42,16,0.67130063,0.66131886,True
weather,LSTM,42,17,0.65231775,0.65476544,False
weather,LSTM,42,18,0.64800087,0.66919406,False
weather,LSTM,42,19,0.63777872,0.67229385,False
weather,LSTM,42,20,0.73657233,0.67537274,False
weather,LSTM,42,21,0.68679955,0.6768436,False
weather,LSTM,42,22,0.66771221,0.67872531,False
