dataset,model,distillation_method,real_mse,synthetic_mse
ETTh1,DLinear,MTT,0.3972973295956827,0.8572122837851636
ETTh1,LSTM,MTT,0.9610799889060242,1.1351933998094212
ETTh1,MLP,MTT,0.3946648625356474,1.1588170944100376
ETTh1,CNN,MTT,0.383673079886008,1.1050098269171436
ETTh2,DLinear,MTT,0.3034965640572979,1.2457623222072562
ETTh2,LSTM,MTT,1.6341867962667878,3.178470531019113
ETTh2,MLP,MTT,0.3019157240163916,2.413102839182022
ETTh2,CNN,MTT,0.32125268757032455,2.7663191276237864
ETTm1,DLinear,MTT,0.3452696834798529,0.7974515140331125
ETTm1,LSTM,MTT,0.7067817472946996,1.1373274382400156
ETTm1,MLP,MTT,0.34155519303920756,1.159218016570094
ETTm1,CNN,MTT,0.34204507324240213,1.0905863066714319
ETTm2,DLinear,MTT,0.19360817095482363,1.1954218382943207
ETTm2,LSTM,MTT,0.5083635118020827,3.0942268639489288
ETTm2,MLP,MTT,0.18161339288753087,1.783800142540017
ETTm2,CNN,MTT,0.2010262627525604,2.8579941411687644
exchange_rate,DLinear,MTT,0.08211442822597446,0.9196675694390629
exchange_rate,LSTM,MTT,0.6627715937653731,3.1676230484180237
exchange_rate,MLP,MTT,0.08772835989346665,3.5618141099308316
exchange_rate,CNN,MTT,0.08641867451230238,2.46236299486196
weather,DLinear,MTT,0.1961148286292052,0.3107424449146016
weather,LSTM,MTT,0.20910508850612902,0.652185109979279
weather,MLP,MTT,0.17909443464191277,0.6597825149317814
weather,CNN,MTT,0.1866189273490837,0.6938387386346341
