dataset,model,seed,epoch,val_loss_raw,val_loss_smooth,is_boundary
ETTh1,DLinear,42,30,0.66058951,0.65907609,False
ETTh1,DLinear,42,31,0.65617102,0.65880536,False
ETTh1,DLinear,42,32,0.65922596,0.657548,False
ETTh1,DLinear,42,33,0.6573447,0.65584584,False
ETTh1,DLinear,42,34,0.65440879,0.65612678,False
ETTh1,DLinear,42,35,0.65207874,0.65566599,False
ETTh1,DLinear,42,36,0.65757571,0.65624528,False
ETTh1,DLinear,42,37,0.65692201,0.65650911,False
ETTh1,DLinear,42,38,0.66024115,0.6573252,False
ETTh1,DLinear,42,39,0.65572794,0.65671078,False
ETTh1,DLinear,42,40,0.65615917,0.65676695,False
ETTh1,DLinear,42,41,0.65450363,0.65573776,False
ETTh1,DLinear,42,42,0.65720285,0.65674898,False
ETTh1,DLinear,42,43,0.6550952,0.65744257,False
ETTh1,DLinear,42,44,0.66078404,0.6583593,False
ETTh1,DLinear,42,45,0.65962715,0.65881122,False
ETTh1,DLinear,42,46,0.65908727,0.66005868,False
ETTh1,DLinear,42,47,0.65946246,0.65977897,False
ETTh1,DLinear,42,48,0.66133246,0.65952589,False
ETTh1,DLinear,42,49,0.6593855,0.65975787,False
ETTh1,DLinear,42,50,0.65836176,0.65987146,False
ETTh1,DLinear,42,51,0.66024717,0.65900957,False
ETTh1,DLinear,42,52,0.66003038,0.65955673,False
ETTh1,DLinear,42,53,0.65702304,0.65936225,False
ETTh1,DLinear,42,54,0.66212131,0.65877522,False
ETTh1,DLinear,42,55,0.65738935,0.65878153,False
ETTh1,DLinear,42,56,0.65731203,0.65835614,False
ETTh1,DLinear,42,57,0.66006191,0.65772802,False
ETTh1,DLinear,42,58,0.65489612,0.65894906,False
ETTh1,DLinear,42,59,0.65898071,0.65923431,False
ETTh1,DLinear,42,60,0.66349455,0.65855631,False
ETTh1,DLinear,42,61,0.65873824,0.65870739,False
ETTh1,DLinear,42,62,0.65667191,0.65788913,False
ETTh1,DLinear,42,63,0.65565153,0.65711457,False
ETTh1,DLinear,42,64,0.65488944,0.65721015,False
ETTh1,DLinear,42,65,0.65962175,0.65724012,False
ETTh1,DLinear,42,66,0.65921615,0.65792415,False
ETTh1,DLinear,42,67,0.65682174,0.65821293,False
ETTh1,DLinear,42,68,0.65907166,0.65769555,False
ETTh1,DLinear,42,69,0.65633334,0.65791674,False
ETTh1,DLinear,42,70,0.65703483,0.65823511,False
ETTh1,DLinear,42,71,0.66032211,0.65840903,False
ETTh1,DLinear,42,72,0.65841361,0.65783687,False
ETTh1,DLinear,42,73,0.65994125,0.65794405,False
ETTh1,DLinear,42,74,0.65347257,0.65798422,False
ETTh1,DLinear,42,75,0.65757069,0.65788136,False
ETTh1,DLinear,42,76,0.66052299,0.65814955,False
ETTh1,DLinear,42,77,0.65789931,0.65916851,False
ETTh1,DLinear,42,78,0.66128217,0.65988851,False
ETTh1,DLinear,42,79,0.65856741,0.65972989,False
ETTh1,DLinear,42,80,0.66117067,0.66034008,False
ETTh1,DLinear,123,1,0.72727053,0.70051981,False
ETTh1,DLinear,123,2,0.69246726,0.69279809,False
ETTh1,DLinear,123,3,0.68182165,0.68810518,False
ETTh1,DLinear,123,4,0.66963294,0.67595955,False
ETTh1,DLinear,123,5,0.66933352,0.67030463,False
ETTh1,DLinear,123,6,0.6665424,0.66665184,True
ETTh1,DLinear,123,7,0.66419263,0.66529173,False
ETTh1,DLinear,123,8,0.66355773,0.66420128,False
ETTh1,DLinear,123,9,0.66283237,0.66323127,False
ETTh1,DLinear,123,10,0.66388125,0.66246902,False
ETTh1,DLinear,123,11,0.66169239,0.66156646,False
ETTh1,DLinear,123,12,0.66038138,0.66131737,False
ETTh1,DLinear,123,13,0.6590449,0.66137418,False
ETTh1,DLinear,123,14,0.66158692,0.66148614,False
ETTh1,DLinear,123,15,0.66416533,0.66106328,False
ETTh1,DLinear,123,16,0.66225219,0.66193051,False
ETTh1,DLinear,123,17,0.65826703,0.6615118,False
