experiment,dataset,expert_model,student_model,seed,method,phase_boundary,real_mse,transfer_mse,mse_ratio,n_pairs_available,notes
cross_arch_phase_aware_early_stop,ETTm1,CNN,DLinear,42,param_mtt,,0.34526968338495245,0.5238591915127435,1.5172464213392167,81,
cross_arch_phase_aware_early_stop,ETTm1,CNN,DLinear,42,phase_aware_mtt,46,0.34526968338495245,0.4909750128870546,1.4220044113738493,81,
cross_arch_phase_aware_early_stop,ETTm1,CNN,MLP,42,param_mtt,,0.3418640656961654,0.7459071621423315,2.181882323968097,81,
cross_arch_phase_aware_early_stop,ETTm1,CNN,MLP,42,phase_aware_mtt,46,0.3418640656961654,0.5947363362774895,1.7396866063310277,81,
cross_arch_phase_aware_early_stop,ETTm1,CNN,CNN,42,param_mtt,,0.3420424103873514,0.7119076187838934,2.081343123438062,81,
cross_arch_phase_aware_early_stop,ETTm1,CNN,CNN,42,phase_aware_mtt,46,0.3420424103873514,0.5694292699295717,1.6647914195339473,81,
cross_arch_phase_aware_early_stop,ETTm1,CNN,DLinear,123,param_mtt,,0.34526968338495245,0.4195759823477068,1.2152123471550436,81,
cross_arch_phase_aware_early_stop,ETTm1,CNN,MLP,123,param_mtt,,0.3418640656961654,0.5201440482473975,1.5214937761539404,81,
cross_arch_phase_aware_early_stop,ETTm1,CNN,CNN,123,param_mtt,,0.3420424103873514,0.3722674434980254,1.0883663317553083,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,DLinear,7,param_mtt,,0.19360817114561812,0.20755060923227459,1.0720136862207637,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,DLinear,7,phase_aware_mtt,41,0.19360817114561812,0.22071896597061405,1.1400291871183739,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,MLP,7,param_mtt,,0.18250893349124328,0.22693530896659742,1.2434202788078081,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,MLP,7,phase_aware_mtt,41,0.18250893349124328,0.2504769718978658,1.3724093780312598,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,CNN,7,param_mtt,,0.20102821390740858,0.40887754226260054,2.033931129940423,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,CNN,7,phase_aware_mtt,41,0.20102821390740858,0.42041508418837725,2.091323779964617,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,DLinear,42,param_mtt,,0.19360817114561812,0.19552175968727048,1.0098838211751564,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,DLinear,42,phase_aware_mtt,61,0.19360817114561812,0.2092548731777759,1.080816330940854,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,MLP,42,param_mtt,,0.18250893349124328,0.26902245361158794,1.4740234818395646,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,MLP,42,phase_aware_mtt,61,0.18250893349124328,0.3134568693479598,1.7174878147156525,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,CNN,42,param_mtt,,0.20102821390740858,0.45127209326420226,2.244819692185363,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,CNN,42,phase_aware_mtt,61,0.20102821390740858,0.534878913415923,2.6607156429409575,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,DLinear,123,param_mtt,,0.19360817114561812,0.20035074742943146,1.0348258869649776,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,DLinear,123,phase_aware_mtt,54,0.19360817114561812,0.2104343363577169,1.0869083423108385,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,MLP,123,param_mtt,,0.18250893349124328,0.5109721677994199,2.799710447181678,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,MLP,123,phase_aware_mtt,54,0.18250893349124328,0.29829335877805174,1.634404152563654,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,CNN,123,param_mtt,,0.20102821390740858,0.30742838240370374,1.5292797783364973,81,
cross_arch_phase_aware_early_stop,ETTm2,DLinear,CNN,123,phase_aware_mtt,54,0.20102821390740858,0.8128846097824735,4.043634443058223,81,
cross_arch_phase_aware_early_stop,ETTm2,MLP,DLinear,7,param_mtt,,0.19360817114561812,0.20534893613836971,1.06064188780504,81,
cross_arch_phase_aware_early_stop,ETTm2,MLP,DLinear,7,phase_aware_mtt,61,0.19360817114561812,0.20753679902053965,1.0719423554930716,81,
cross_arch_phase_aware_early_stop,ETTm2,MLP,MLP,7,param_mtt,,0.18250893349124328,0.2584723360284835,1.4162174480126746,81,
cross_arch_phase_aware_early_stop,ETTm2,MLP,MLP,7,phase_aware_mtt,61,0.18250893349124328,0.21228122798529742,1.1631278750280056,81,
cross_arch_phase_aware_early_stop,ETTm2,MLP,CNN,7,param_mtt,,0.20102821390740858,0.28938999636118345,1.4395491594750642,81,
cross_arch_phase_aware_early_stop,ETTm2,MLP,CNN,7,phase_aware_mtt,61,0.20102821390740858,0.2523501924163192,1.2552973909052834,81,
cross_arch_phase_aware_early_stop,ETTm2,MLP,DLinear,42,param_mtt,,0.19360817114561812,0.1952316951160445,1.0083856169955,81,
cross_arch_phase_aware_early_stop,ETTm2,MLP,DLinear,42,phase_aware_mtt,20,0.19360817114561812,0.2273804324257308,1.1744361360384508,81,
