dataset,model,seed,epoch,train_loss,val_loss,param_movement_raw,param_movement_smooth,segment_id,is_boundary
ETTh1,DLinear,7,74,0.35105857,0.65668067,0.03588278,0.04078509,1,False
ETTh1,DLinear,7,75,0.34574127,0.65888679,0.05227079,0.03773193,1,False
ETTh1,DLinear,7,76,0.34692994,0.65866461,0.02993109,0.04045812,1,False
ETTh1,DLinear,7,77,0.34997497,0.65659794,0.03575228,0.04134387,1,False
ETTh1,DLinear,7,78,0.34895628,0.65832754,0.04845365,0.03688328,1,False
ETTh1,DLinear,7,79,0.34537346,0.65686571,0.04031152,0.03862132,1,False
ETTh1,DLinear,7,80,0.34467984,0.65648507,0.02996785,0.03957767,1,False
ETTh1,MLP,7,1,0.64682745,0.95796577,1.9345258,1.12427799,0,False
ETTh1,MLP,7,2,0.4569186,0.82419061,0.86722371,0.94067529,0,False
ETTh1,MLP,7,3,0.41703945,0.76205613,0.57108446,0.81750373,0,False
ETTh1,MLP,7,4,0.40087208,0.73178239,0.38986719,0.48648136,0,False
ETTh1,MLP,7,5,0.3906803,0.72300554,0.32481751,0.36181814,0,False
ETTh1,MLP,7,6,0.38311418,0.70401062,0.27941393,0.29052926,0,False
ETTh1,MLP,7,7,0.38014081,0.69965576,0.24390761,0.24998406,0,False
ETTh1,MLP,7,8,0.37579468,0.6907274,0.21464006,0.22027598,0,False
ETTh1,MLP,7,9,0.37640365,0.68612567,0.18714118,0.19442367,0,False
ETTh1,MLP,7,10,0.37041094,0.68661583,0.1762771,0.17501462,0,False
ETTh1,MLP,7,11,0.37092151,0.68422171,0.15015237,0.15954413,0,False
ETTh1,MLP,7,12,0.37085167,0.67685818,0.14686238,0.14664135,0,False
ETTh1,MLP,7,13,0.36740802,0.67883883,0.13728759,0.135106,0,False
ETTh1,MLP,7,14,0.36457493,0.67661285,0.12262729,0.1284185,1,True
ETTh1,MLP,7,15,0.36518439,0.67471353,0.11860036,0.12145216,1,False
ETTh1,MLP,7,16,0.36254822,0.67370639,0.11671486,0.1156894,1,False
ETTh1,MLP,7,17,0.36260639,0.67641829,0.11203067,0.1117787,1,False
ETTh1,MLP,7,18,0.36070837,0.67773094,0.10847383,0.10792151,1,False
ETTh1,MLP,7,19,0.36072434,0.67204203,0.10307379,0.10386666,1,False
ETTh1,MLP,7,20,0.35917429,0.6731474,0.09931441,0.10045496,1,False
ETTh1,MLP,7,21,0.35966789,0.67265999,0.09644061,0.09793287,1,False
ETTh1,MLP,7,22,0.35881495,0.67137915,0.09497218,0.09719554,1,False
ETTh1,MLP,7,23,0.36070103,0.66801988,0.09586335,0.09588528,1,False
ETTh1,MLP,7,24,0.35844619,0.66804569,0.09938715,0.09522152,1,False
ETTh1,MLP,7,25,0.35803604,0.66897249,0.0927631,0.09345317,1,False
ETTh1,MLP,7,26,0.35609301,0.66752185,0.09312181,0.09131896,1,False
ETTh1,MLP,7,27,0.3558622,0.66772574,0.08613042,0.08856439,1,False
ETTh1,MLP,7,28,0.35641043,0.6669033,0.08519229,0.08683284,1,False
ETTh1,MLP,7,29,0.35508868,0.66741587,0.08561431,0.08467722,1,False
ETTh1,MLP,7,30,0.35492039,0.66597399,0.08410535,0.08365663,1,False
ETTh1,MLP,7,31,0.35403544,0.66609032,0.08234371,0.08450869,1,False
ETTh1,MLP,7,32,0.35433064,0.66820894,0.08102746,0.0839128,1,False
ETTh1,MLP,7,33,0.35389158,0.66229982,0.08945263,0.08293367,1,False
ETTh1,MLP,7,34,0.35328653,0.66317924,0.08263485,0.08176159,1,False
ETTh1,MLP,7,35,0.3533714,0.66260427,0.0792097,0.08061829,1,False
ETTh1,MLP,7,36,0.35193853,0.66302962,0.0764833,0.07975843,1,False
ETTh1,MLP,7,37,0.35262963,0.66006249,0.07531096,0.07757142,1,False
ETTh1,MLP,7,38,0.3512359,0.66486192,0.08515334,0.07633319,1,False
ETTh1,MLP,7,39,0.35083174,0.6659019,0.07169981,0.0758611,1,False
ETTh1,MLP,7,40,0.3515414,0.66250106,0.07301853,0.07614506,1,False
ETTh1,MLP,7,41,0.35060539,0.66301196,0.07412288,0.07373914,1,False
ETTh1,MLP,7,42,0.35039096,0.65972174,0.07673073,0.07317005,1,False
ETTh1,MLP,7,43,0.35026374,0.66382166,0.07312376,0.07344037,1,False
ETTh1,MLP,7,44,0.35088251,0.66232333,0.06885434,0.07333952,1,False
ETTh1,MLP,7,45,0.34928329,0.66479972,0.07437016,0.07236664,1,False
ETTh1,MLP,7,46,0.34929527,0.66196996,0.07361861,0.07348127,1,False
ETTh1,MLP,7,47,0.35137448,0.66073387,0.07186632,0.07393102,1,False
ETTh1,MLP,7,48,0.35061003,0.6607629,0.07869691,0.07271025,1,False
ETTh1,MLP,7,49,0.34813894,0.66052241,0.07110311,0.07142934,1,False
ETTh1,MLP,7,50,0.34843106,0.65900548,0.0682663,0.07134725,1,False
ETTh1,MLP,7,51,0.34804352,0.65698557,0.06721405,0.06891571,1,False
ETTh1,MLP,7,52,0.34698769,0.66425439,0.07145589,0.06851595,1,False
ETTh1,MLP,7,53,0.34793251,0.6592743,0.06653919,0.06799864,1,False
ETTh1,MLP,7,54,0.34727386,0.66136446,0.0691043,0.0670383,1,False
ETTh1,MLP,7,55,0.3469258,0.65802013,0.06567975,0.06557482,1,False
ETTh1,MLP,7,56,0.34639202,0.65605751,0.06241239,0.0646663,1,False
ETTh1,MLP,7,57,0.34598277,0.65802851,0.06413845,0.06315928,1,False
ETTh1,MLP,7,58,0.34523073,0.65942582,0.06199663,0.06241236,1,False
